id,type,"item id","item type","item owner id","item owner name","item owner email","layer id","layer title",title,coordinates,description,"image count",url,"created date","last modification date","last editor","edit count","read access","item views","Building Type",Agency,"Contact Person","Position of Contact","Phone Number",Email,"Has Waitlist","Estimated Wait Time","Has Maximum Duration of Stay","Maximum Duration of Stay","Number of Dormitory Beds","Number of Shared Bedroom Beds","Number of Single Bedroom Beds","Services Provided","Provides Case Management Services","Provides Referrals to other Agencies","Provides Health/Dental Care","Provides Meals","Provides Showers","Provides Storage","Provides Clothing/Household Goods","Other Services","Number of Studio/Bachelor Units","Number of 1 Bedroom Units","Number of 2 Bedroom Units","Number of 3 Bedroom Units","Number of 4 Bedroom Units","Number of Other Type Bedroom Units","Description of Other Type Bedroom Units","Housing is fully self contained (Bathroom/Kitchen)","Housing is fully furnished","Number Beds in house with shared bedroom(s)","Number of Beds in House with Individual Rooms","Number of Apartment Studio Units","Number of 1 Bedroom Apartment Units","Number of 2 and 3 Bedroom Apartment Units","Number of Other Units","Description of Other Type Houseing Units","Is the Building Under RTA?","Requires Damage Deposit","Damage Deposit Amount","Tenant Holds Lease","Number of Beds in Shared Accommodation House","Number of Units in Secondary House Suite","Number of Duplex Units","Number of Fourplex Units","Number of Townhouse Units","Provides Service to Males","Provides Service to Females","Provides Service to Transgender","Provides Services to Demographic: 16 - 18","Provides Services to Demographic: 19+","Provides Services to Demographic: 55+","Provides Service To Other Demographic","Can the key tenant or primary lease holder be a youth","Primary Target Residents are Individuals","Primary Target Residents are Families","Primary Target Residents are Individuals and Families","Potential residents are required to live in Kelowna for a certain amount of time","Building Accommodated Individuals with Disabilities","Some Units Accommodate Individuals with Disabilities","Exclusively Serves Aboriginal Community","Monthly Cost of Stay","The Units are RGI","Monthly Cost Calculation","Has Minimum Income Level","Has Maximum Income Level","Minimum Income Level","Maximum Income Level","Units Are Lower End of Market","Residents are Require to be on Income or Disability Assistance","Building Qualifies For Rental Assistance","Building is Pet Friendly","Pet Restrictions","Smoking is Permitted in Building","Smoking is Permitted in Units","Accommodations For Smoking","Residents are required to abstain from alcohol and drugs","Level of Drugs and Alcohol Tolerence","Clean Time Requirement","Length of Clean Time","Treatment/Detox Required First","Residents Require Professional Support for Eligibility","Supports Required For Eligibility","Referrals are Made Directly","Referrals Form","Demographic Served","Gender Served","Primary Target Resident",Logo,"Search Keywords","Wait Time Units",Website,"Social Media","Agency Contact Person","Position of Agency Contact","Contact Number","Contact Email","Office Hours"
27,marker,27,marker,1018,"Kate Dusik",kdusik@baptisthousing.org,1,"Residential Services","Sun Pointe Village","49.896435, -119.387704","Sun Pointe Village was the first ""Community of Care"" in the Okanagan Valley, providing three levels of senior care designed to meet the changing needs of Kelowna’s residents. Independent Living, Assisted Living and Residential Care are all provided at Sun Pointe Village, a beautiful and well-appointed Village that makes everyone feel at home.",0,"=HYPERLINK(""27"",""link to 27"")","2016-11-09 11:21:36","2017-07-07 04:39:43","Super User",0,public,242,"[""supportive""]",87,"Kate Dusik","Marketing Manger","(250) 215-1500 (Cell); (250) 860-2216 ext. 2121 (Office)",kdusik@baptisthousing.org,true,6,false,0,0,0,0,"[""Case Management"",""Referrals to other Agencies"",""Health\/Dental Care"",""Meals"",""Showers"",""Laundry"",""Parking""]",,,,,,,,"[""Towel and Linen service"",""Social worker for residential only"",""Laundry"",""Parking"",""emergency response"",""Enhanced care services available (either through IHA or private pay)""]",27,13,0,0,0,0,,true,false,0,0,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,true,true,true,false,0,false,,false,false,0,0,false,false,true,true,"Small size (only one touch)",false,false,,false,"[""Legal - use allowed on site, in private unit"",""Illegal - Evict if using"",""Legal - Allowed back on site if intoxicated""]",false,0,false,false,[],true,"IHA (Assisted and Residential Care), anyone may refer for Supportive Housing",55+,"[""Male"",""Transgender"",""Female""]","[""Individuals"",""Couples""]",,"independent living, assisted living, residential care, senior housing, senior home, retirement residence, 55+",months,,,,,,,
28,marker,28,marker,1018,"Kate Dusik",kdusik@baptisthousing.org,1,"Residential Services","Village at Mill Creek","49.8804334, -119.4678305","Welcome home to Kelowna’s Village at Mill Creek, a community which includes Independent Living with Support Services, Assisted Living and Residential Care. Village at Mill Creek is perfectly situated to meet the changing care needs of seniors in our community. Our exceptional team and beautifully-appointed building make it one of the finest seniors’ residences in Kelowna.",0,"=HYPERLINK(""28"",""link to 28"")","2016-11-09 11:38:59","2017-06-29 16:39:13","Kerry Rempel",0,public,140,"[""supportive""]",87,"Kate Dusik","Marketing Manager","(250) 215-1500 or (250) 860-2216 ext. 2121",kdusik@baptisthousing.org,true,12,false,0,0,0,0,"[""Case Management"",""Referrals to other Agencies"",""Health\/Dental Care"",""Meals"",""Storage"",""Showers"",""Laundry"",""Parking""]",,,,,,,,"[""Chaplain"",""Social Worker (residential only)"",""Laundry"",""Towel and Linen service"",""Emergency response"",""Onsite enhanced care services""]",3,49,3,0,0,38,"1 bdrm. Assisted Living Suites (require IHA Assessment & placement)
Assisted Living",true,false,0,0,0,0,0,3,"one bedroom with den",false,,,,,0,0,0,0,,,,,,,,false,,,,true,true,true,false,,false,"assisted living 70% after tax of monthly income; 80% for funded; $205 a day for private only",true,false,0,0,false,false,true,true,"one pet, with size restriction",false,false,"outdoor smoking area",false,"[""Legal - use allowed on site, in private unit"",""Legal - Allowed back on site if intoxicated"",""Illegal - Evict if using""]",false,0,false,false,[],true,"In person for independent living; Through Interior Health for Assisted and residential",55+,"[""Male"",""Female"",""Transgender""]","[""Individuals"",""Couples""]",,"independent living, assisted living, residential care, senior housing, senior home, retirement residence, 55+",months,,,,,,,
29,marker,29,marker,1020,"John Przywara",eldercare@shaw.ca,1,"Residential Services","Elder Care Seniors Residence","49.856401, -119.487404","Provides a 4-bed residential care home with a focus towards supporting dementia and cognitive challenges * emphasizes client centered approach and perspective, allowing for personalized services that are adapted to meet individual needs * 24 hour supervision * 2 beds assistive living through Interior Health and 2 private rooms",0,"=HYPERLINK(""29"",""link to 29"")","2016-11-09 11:54:52","2017-03-20 16:16:37","John Przywara",0,public,98,"[""supportive""]",155,"John Przywara","Owner and Operator","(250) 763- 2188 
(general); (250) 317-1539",eldercare@shaw.ca,true,0,false,0,0,0,0,"[""Case Management"",""Referrals to other Agencies"",""Meals"",""Storage"",""Showers"",""Laundry"",""Parking""]",,,,,,,,[],0,0,0,0,0,0,,false,false,0,4,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,false,true,true,false,25002800,false,"$2500 - $2800",false,false,0,0,false,false,true,false,,false,false,,false,"[""Legal - use allowed on site, in private unit"",""Illegal - Allowed back on site if intoxicated"",""Legal - Allowed back on site if intoxicated""]",false,0,false,true,[],true,https://www.interiorhealth.ca/YourCare/HousingHealth/ResidentialCare/Pages/default.aspx,55+,"[""Female"",""Transgender"",""Male""]","[""Individuals""]",,,,,,,,,,
30,marker,30,marker,996,"Stephanie Nagy",stephanie.nagy@alumni.ubc.ca,1,"Residential Services","Borden Manor","49.8812319, -119.4788825","Family atmosphere, baking scents in the air, personal and warm attention to needs of our residents and their families. We can do it because we are small enough - 10 residents only - so we know and care for each one of them just like family does. We go the extra mile to be a real home - be it cooking your favorite dish, or bringing you breakfast in bed on an off morning.",0,"=HYPERLINK(""30"",""link to 30"")","2016-11-09 12:03:31","2017-06-29 21:07:08","Kerry Rempel",0,public,109,"[""supportive""]",153,"Cindy Ross","Resident Manger","(250) 863-1505 (Office); (250) 763-9750 (Personal)","bordenmanor@shaw.ca; rosscindy222@gmail.com",false,0,false,0,0,0,0,"[""Meals"",""Showers"",""Parking"",""Laundry""]",,,,,,,,[],0,0,0,0,0,0,,false,false,0,10,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,false,false,false,false,"$1600 - $1780",false,"Subsidies available and individuals can qualify for rental assistance",false,false,0,0,false,false,false,false,,false,false,,false,"[""Legal - use allowed on site, in private unit"",""Legal - Allowed back on site if intoxicated"",""Illegal - Evict if using""]",false,0,false,false,[],true,"Referred either by Interior Health, or through the agency’s personal website (http://bordenmanor.com/#contact)",19+,"[""Male"",""Female"",""Transgender""]","[""Individuals""]",,"Senior home, 55+",,,,,,,,
31,marker,31,marker,996,"Stephanie Nagy",stephanie.nagy@alumni.ubc.ca,1,"Residential Services","Harmony Living Assisted Living","49.8822997, -119.4808027","Harmony Living is an attractive, bright and spacious home. Our elegant home is a truly unique concept in accommodating an intimate number of residents and creating a friendly and safe atmosphere for seniors to call home.

Harmony Living is a Registered Assisted Living Residence and follows government regulations under the Community Care and Assisted Living Act. We provide a small, family-oriented environment with 24-hour care, right in the scenic heart of Kelowna.

For over ten years, Harmony Living has been building a reputation for excellence and exceptional care. We employ a staff of highly qualified and trained workers to provide for all of your living needs – physically, emotionally and spiritually. We help you enjoy a secure, safe and independent lifestyle.",0,"=HYPERLINK(""31"",""link to 31"")","2016-11-09 12:29:26","2017-03-22 13:49:28","Stephanie Nagy",0,public,80,"[""supportive""]",152,"May Kamali","Owner and Manager","(250) 300-3436",harmonyliving@telus.net,false,0,false,0,0,0,0,"[""Meals"",""Showers""]",,,,,,,,"[""Laundry"",""Parking""]",0,0,0,0,0,0,,false,false,0,20,0,0,0,0,"10 at 962; 10 at 964 (sites directly across the street from each other)",true,,,,,0,0,0,0,,,,,,,"65+ demographic (do except younger for shorter term if in physical rehab or have cancer, etc.)",false,,,,false,true,true,false,2200,false,,false,false,0,0,false,false,true,false,"only visiting pets allowed and they must stay in room of resident, or in the garden with a leash on",false,false,"Outside gazebo",false,"[""Legal - use allowed on site, in private unit"",""Legal - Allowed back on site if intoxicated"",""Illegal - Evict if using""]",false,0,false,false,[],true,"Referrals are not required. However, some residents often get reffered by mental health services and through Interior health.",Other,"[""Male"",""Female"",""Transgender""]","[""Individuals""]",,"senior home, 55+, assisted living",,,,,,,,
32,marker,32,marker,997,"Brooks Hewko",brookshewko@hotmail.com,1,"Residential Services","Harmony House","49.8712294, -119.4830669",,0,"=HYPERLINK(""32"",""link to 32"")","2016-11-14 11:08:46","2017-06-29 16:45:50","Kerry Rempel",0,public,59,"[""transitional""]",61,"Nancy Tordiffe",Director,"(250) 763-6544",nancy@kelownagospelmission.ca,true,12,true,0,0,0,0,"[""Case Management"",""Referrals to other Agencies"",""Health\/Dental Care"",""Storage"",""Showers"",""Laundry""]",,,,,,,,"[""Recovery"",""Counseling"",""Anger Management"",""Transportation"",""wifi""]",0,0,0,0,0,0,,true,true,0,5,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,false,false,false,false,,true,"$400+ Income Assistance, or Persons With Disabilities",false,false,0,0,false,true,false,false,,false,false,"3 designated areas on property for smoking",true,[],false,0,false,false,[],true,"Website, in person",19+,"[""Female""]","[""Individuals""]",,,months,,,,,,,
33,marker,33,marker,1008,"Ken Zeitner",Hope.admin@shaw.ca,1,"Residential Services","Francis Avenue","49.8702745, -119.4831505","Provides short-term housing for women and women with children * offers short term housing for a period of one month to one year * residents receive many additional services from the Society during their residency including food, clothing, encouragement and support",0,"=HYPERLINK(""33"",""link to 33"")","2016-11-16 23:19:03","2017-06-13 21:19:00","Ken Zeitner",0,public,68,"[""transitional""]",10,,,,,true,,true,0,0,0,0,"[""Referrals to other Agencies""]",,,,,,,,"[""Counseling"",""laundry""]",0,0,0,0,0,0,,true,false,0,0,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,false,true,true,false,,true,,false,true,0,0,false,false,false,false,,false,false,,true,[],true,0,true,false,[],true,"Application on website (http://www.societyofhope.org/apply-for-housing)",19+,"[""Female"",""Transgender""]","[""Families"",""Individuals""]",,,,,,,,,,
34,marker,34,marker,1008,"Ken Zeitner",Hope.admin@shaw.ca,1,"Residential Services","Gordon Drive","49.8763076, -119.4768512",,0,"=HYPERLINK(""34"",""link to 34"")","2016-11-16 23:22:45","2017-06-13 19:13:51","Ken Zeitner",0,public,146,"[""transitional""]",10,,,,,true,,true,0,0,0,0,"[""Referrals to other Agencies"",""Showers""]",,,,,,,,[],0,1,0,0,0,0,,true,false,0,0,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,false,false,false,false,0,true,,false,true,0,0,false,false,false,false,,false,false,"Smoking must be off location",true,[],true,0,true,false,[],true,"Application on website (http://www.societyofhope.org/apply-for-housing)",19+,"[""Female""]","[""Families"",""Individuals""]",,,,,,,,,,
35,marker,35,marker,1008,"Ken Zeitner",Hope.admin@shaw.ca,1,"Residential Services","Pleasantvale Apartments","49.9029017, -119.4887623",,0,"=HYPERLINK(""35"",""link to 35"")","2016-11-16 23:31:30","2017-06-13 19:39:03","Ken Zeitner",0,public,181,"[""low income rental""]",10,,,,,true,,false,0,0,0,0,"[""Showers""]",,,,,,,,[],0,0,0,0,0,0,,true,false,0,0,0,0,0,0,,true,,,,,0,0,0,0,,,,,,,,false,,,,false,true,true,false,,false,,false,true,0,0,true,false,true,false,,false,false,,false,"[""Legal - use allowed on site, in private unit""]",false,0,false,false,[],true,"Application form on website: http://www.societyofhope.org/apply-for-housing",,"[""Male"",""Female"",""Transgender""]","[""Individuals"",""Families"",""Couples""]",,,,,,,,,,
36,marker,36,marker,1008,"Ken Zeitner",Hope.admin@shaw.ca,1,"Residential Services","Cedar Manor","49.8945949, -119.4003799",,0,"=HYPERLINK(""36"",""link to 36"")","2016-11-16 23:35:54","2017-06-13 21:22:52","Ken Zeitner",0,public,88,"[""low income rental""]",10,,,,,true,,false,0,0,0,0,"[""Showers""]",,,,,,,,[],0,0,0,0,0,0,,true,false,0,0,0,0,0,0,,true,,,,,0,0,0,0,,,,,,,,false,,,,false,false,false,false,,true,,false,true,0,0,true,false,true,false,,false,false,,false,[],false,0,false,false,[],true,"Application form on agency website http://www.societyofhope.org/apply-for-housing",55+,"[""Male"",""Female"",""Transgender""]","[""Individuals"",""Couples""]",,,,,,,,,,
